Target_index,0,1,2,Variable_index,Variable_name
Ping_index,3006,3007,3008,
Ping_date,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:40:00,13:40:00,13:40:00,
Ping_milliseconds,758.0,847.0,936.0,
Range,4.4103701685,4.4163244029,4.4298602451,
Depth,4.3303925330,4.3178632976,4.3154694531,
35.000,-66.717233,-61.114210,-64.389064,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
35.244,-64.861156,-60.501292,-60.637285,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
35.488,-63.181297,-59.503995,-57.913490,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
35.732,-62.091147,-58.762963,-56.254404,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
35.977,-62.266816,-59.088972,-56.328262,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
36.221,-63.479855,-60.203867,-57.792006,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
36.465,-64.887738,-61.086461,-59.390077,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
36.709,-66.172807,-61.511210,-60.172110,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
36.953,-67.487672,-62.114252,-59.756127,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
37.197,-68.468810,-62.987318,-58.567915,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
37.441,-68.765485,-63.883715,-57.479921,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
37.686,-68.872517,-65.155172,-57.339182,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
37.930,-68.502460,-66.022043,-57.360493,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
38.174,-67.778827,-66.390330,-57.376788,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
38.418,-67.408496,-67.066113,-58.170525,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
38.662,-67.229984,-67.817730,-59.390391,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
38.906,-66.957952,-68.332871,-60.686965,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
39.150,-66.319341,-68.278878,-61.657541,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
39.395,-65.507871,-67.883139,-62.463034,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
39.639,-64.761028,-67.383195,-63.251833,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
39.883,-64.152611,-66.891441,-64.026727,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
40.127,-63.462404,-66.183726,-64.432789,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
40.371,-62.740442,-65.412341,-64.526489,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
40.615,-62.549580,-65.305675,-64.994649,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
40.859,-62.049416,-64.759220,-64.604916,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
41.104,-61.550610,-64.244925,-63.881660,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
41.348,-61.027419,-63.778950,-62.891893,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
41.592,-60.465208,-63.297840,-61.589561,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
41.836,-59.770076,-62.577949,-59.833645,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
42.080,-59.380649,-62.044071,-58.281558,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
42.324,-59.053220,-61.276982,-56.724710,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
42.568,-58.757099,-60.201498,-55.295202,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
42.813,-58.681797,-59.183361,-54.421978,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
43.057,-58.582970,-58.088980,-53.840088,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
43.301,-58.573251,-57.262147,-53.809505,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
43.545,-58.512007,-56.661989,-54.229853,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
43.789,-58.570770,-56.558978,-55.375899,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
44.033,-58.527428,-56.572254,-56.916379,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
44.277,-58.851445,-57.178247,-59.498522,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
44.521,-59.472356,-58.181925,-63.282797,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
44.766,-59.825640,-58.830610,-68.431109,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
45.010,-59.624410,-58.703140,-74.808327,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
