Target_index,0,1,2,3,4,5,6,7,8,Variable_index,Variable_name
Ping_index,3067,3068,3069,3070,3071,3072,3073,3074,3075,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:40:06,13:40:06,13:40:06,13:40:06,13:40:06,13:40:06,13:40:06,13:40:06,13:40:06,
Ping_milliseconds,259.0,349.0,433.0,517.0,601.0,699.0,787.0,878.0,969.0,
Range,12.2909013182,12.2236077164,12.2998678460,12.2938171966,12.1683757716,12.1623375026,12.1772306577,12.1997563703,12.1891119186,
Depth,11.9382770900,12.0490705920,12.1013450092,11.9969478063,11.7916181600,11.8390791789,11.8243596936,11.9055077955,11.9122215426,
35.000,-50.917626,-54.009880,-52.919627,-56.109220,-43.525753,-56.991665,-45.561338,-42.315068,-40.713243,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
35.244,-48.567647,-52.118479,-53.871221,-55.115657,-39.047977,-47.288739,-47.994017,-42.456498,-39.702582,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
35.488,-46.416040,-50.003238,-54.836890,-50.764346,-35.792867,-42.838396,-55.934266,-41.669635,-38.370756,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
35.732,-44.925419,-48.207824,-56.644732,-46.863143,-33.790546,-40.410480,-50.949367,-40.421023,-37.451941,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
35.977,-44.917430,-47.479171,-60.031542,-44.679688,-33.791935,-40.163555,-42.238869,-39.674921,-37.809575,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
36.221,-46.107018,-47.725922,-61.327316,-43.829814,-35.421252,-41.518715,-38.770822,-39.492769,-39.155757,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
36.465,-47.396070,-48.380198,-57.767848,-43.159773,-37.440004,-43.015861,-36.568610,-39.115832,-40.271269,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
36.709,-48.625025,-49.469624,-54.261003,-42.427408,-39.860562,-43.763772,-34.751389,-38.508667,-40.430287,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
36.953,-50.661649,-51.672520,-52.010837,-42.347003,-44.255167,-43.719187,-33.978703,-38.452842,-39.920993,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
37.197,-53.662264,-55.659273,-50.843232,-43.018081,-52.750612,-43.214301,-34.266459,-39.048162,-39.211064,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
37.441,-57.232824,-63.377026,-50.373836,-44.159685,-60.501635,-42.858614,-35.234094,-39.968371,-38.638640,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
37.686,-60.982905,-74.035791,-50.650006,-46.148734,-53.646760,-43.561536,-37.334945,-41.487579,-38.824068,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
37.930,-62.423989,-61.105732,-51.026687,-48.123935,-52.786803,-44.449228,-39.501084,-42.645377,-39.072461,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
38.174,-61.674911,-56.844584,-51.382345,-49.980902,-54.830381,-45.266794,-41.531661,-43.234614,-39.274519,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
38.418,-61.079467,-54.917485,-52.215887,-52.632255,-63.689901,-46.659709,-44.389022,-44.073494,-40.172831,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
38.662,-60.774042,-54.100458,-53.305730,-55.928023,-61.744074,-47.803161,-47.594674,-44.924460,-41.480458,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
38.906,-60.428418,-53.674694,-54.319825,-59.808876,-53.014661,-47.956502,-50.517138,-45.521877,-42.862734,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
39.150,-59.560442,-53.197720,-54.986024,-64.596284,-48.453846,-46.914201,-52.319240,-45.555224,-43.971386,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
39.395,-58.329994,-52.766525,-55.492100,-72.122258,-45.219362,-45.392417,-52.953654,-45.276656,-45.012298,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
39.639,-56.948721,-52.585002,-56.103014,-69.519375,-42.752344,-43.908720,-52.558439,-44.917194,-46.215829,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
39.883,-55.556995,-52.709844,-56.928922,-62.790742,-40.876175,-42.693325,-51.261627,-44.575481,-47.683956,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
40.127,-53.961976,-52.925719,-57.827435,-58.413313,-39.168646,-41.516455,-48.951927,-43.992640,-49.187829,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
40.371,-52.410246,-53.251711,-58.932667,-55.117403,-37.833239,-40.590267,-46.253441,-43.313818,-50.845390,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
40.615,-51.733461,-54.222014,-60.961415,-53.129183,-37.782168,-40.747196,-44.422315,-43.279359,-53.315834,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
40.859,-50.594689,-55.225286,-63.620224,-50.976019,-37.359156,-40.586193,-42.115890,-42.669923,-55.477952,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
41.104,-49.554925,-56.606518,-68.418962,-49.060411,-37.280358,-40.679714,-40.067479,-42.003519,-57.857056,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
41.348,-48.707820,-58.453342,-81.819225,-47.360938,-37.701218,-41.042945,-38.393865,-41.347773,-60.481044,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
41.592,-48.007357,-61.081646,-68.084012,-45.801652,-38.628352,-41.485836,-37.035264,-40.699325,-60.817644,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
41.836,-47.264446,-65.181350,-60.747662,-44.189558,-39.955341,-41.526800,-35.762383,-39.930558,-56.124879,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
42.080,-47.077244,-72.423763,-56.333093,-43.104912,-42.692325,-41.461421,-35.276439,-39.664090,-51.352263,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
42.324,-47.028761,-68.498257,-53.072453,-42.249844,-47.064160,-40.846584,-35.240382,-39.647654,-47.529009,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
42.568,-46.986992,-62.404693,-50.485018,-41.651847,-54.044186,-39.951612,-35.732192,-39.952082,-44.550838,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
42.813,-47.023733,-58.950171,-48.585360,-41.693794,-55.002949,-39.475365,-37.258234,-40.997363,-42.582169,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
43.057,-46.457993,-56.778464,-47.144971,-42.109855,-51.869153,-39.152113,-39.452352,-42.577165,-41.272410,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
43.301,-45.505182,-55.544049,-46.274128,-43.194063,-53.122996,-39.061514,-42.305111,-45.058523,-40.798953,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
43.545,-44.312949,-54.894981,-45.818651,-44.955298,-64.134284,-38.712145,-44.085262,-48.544147,-41.061186,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
43.789,-43.427649,-54.811681,-45.850018,-47.962461,-53.366699,-38.144057,-43.583221,-53.404368,-42.389059,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
44.033,-42.565356,-54.939081,-46.082086,-52.431204,-45.190329,-37.000199,-42.160560,-56.349935,-44.752067,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
44.277,-42.297277,-55.562419,-46.871405,-57.385027,-41.166534,-36.171112,-41.719014,-54.074436,-49.751769,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
44.521,-42.424651,-56.453292,-48.128656,-52.949948,-38.853131,-35.684179,-42.035259,-51.457857,-66.209921,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
44.766,-42.144593,-56.840462,-49.368164,-47.820071,-36.690700,-34.829354,-41.624218,-48.621270,-51.584109,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
45.010,-41.030327,-56.097489,-50.487907,-43.151575,-33.955201,-33.268629,-38.891645,-44.657951,-43.437326,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
