Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Variable_index,Variable_name
Ping_index,2605,2606,2607,2608,2609,2610,2611,2612,2613,2614,2615,2616,2617,2618,2619,2621,2622,2623,2624,2625,2626,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:39:24,13:39:24,13:39:24,13:39:24,13:39:24,13:39:24,13:39:24,13:39:24,13:39:24,13:39:25,13:39:25,13:39:25,13:39:25,13:39:25,13:39:25,13:39:25,13:39:25,13:39:25,13:39:26,13:39:26,13:39:26,
Ping_milliseconds,145.0,243.0,340.0,443.0,537.0,631.0,751.0,851.0,948.0,037.0,139.0,238.0,334.0,456.0,543.0,751.0,843.0,931.0,028.0,121.0,224.0,
Range,10.5782125600,10.5572892800,10.5393550400,10.5244098400,10.5034865600,10.4975084800,10.4885413600,10.4915304000,10.4915304000,10.5034865600,10.5154427200,10.5273988800,10.5423440800,10.5662564000,10.5961468000,10.6409824000,10.6738618400,10.7007632000,10.7455988000,10.7904344000,10.8352700000,
Depth,10.2583688265,10.2217945037,10.3052093256,10.3241363717,10.3091623066,10.3168507610,10.3266230356,10.3585658958,10.3492601942,10.3494743481,10.3567629848,10.3745655343,10.3555881744,10.4227584079,10.3374304250,10.4161838777,10.4736867389,10.3774488168,10.4514750466,10.4537448529,10.5154791810,
35.000,-48.682631,-49.476079,-53.827366,-52.719076,-53.249830,-55.450339,-56.774799,-52.103409,-60.885926,-55.760388,-52.295044,-56.856962,-50.519178,-59.251340,-50.921166,-53.291813,-48.605262,-55.493426,-55.100750,-51.521504,-52.293179,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
35.244,-48.724571,-48.943791,-53.348364,-52.015934,-53.820292,-55.717810,-55.259493,-52.143010,-63.254724,-54.175767,-52.758152,-58.533735,-49.990060,-58.223139,-50.257444,-56.276626,-47.339097,-64.293446,-53.891096,-49.927784,-49.741286,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
35.488,-48.736755,-48.247865,-52.715736,-51.019047,-53.878566,-55.361871,-53.574326,-51.849686,-64.107333,-52.539252,-53.106390,-60.281214,-49.081915,-56.610248,-49.459389,-59.798870,-46.296056,-54.717959,-52.675104,-48.119792,-47.408191,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
35.732,-48.793411,-47.454212,-52.201307,-50.073425,-53.729810,-54.564243,-52.102357,-51.746138,-62.262443,-51.291356,-54.032554,-62.537153,-48.308718,-55.079509,-49.171910,-58.947550,-45.767425,-48.287640,-51.760352,-46.293993,-45.369789,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
35.977,-49.508515,-47.173770,-52.420372,-49.812815,-53.964354,-53.768296,-51.467958,-52.522913,-59.090801,-51.084289,-56.489771,-64.594507,-48.363866,-54.357825,-50.293397,-54.590310,-46.427448,-45.208654,-51.619930,-45.192011,-44.227486,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
36.221,-50.889979,-47.414885,-53.253667,-50.134852,-54.471981,-52.956698,-51.531676,-54.088747,-56.216135,-51.713733,-60.851143,-64.157712,-49.017293,-54.291100,-52.731975,-51.963509,-48.282309,-44.074655,-51.716552,-44.938462,-44.038866,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
36.465,-52.382955,-47.681766,-54.057134,-50.469686,-54.691583,-51.914337,-51.694818,-55.888929,-53.637468,-52.450470,-68.346798,-62.096943,-49.458918,-54.224047,-55.692327,-50.315609,-50.942076,-43.529857,-51.072559,-45.134203,-44.396613,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
36.709,-53.536791,-47.745398,-54.513962,-50.641527,-54.404840,-50.808350,-51.774568,-57.629083,-51.347750,-53.076234,-73.354718,-59.620607,-49.483105,-53.998163,-58.694950,-49.078303,-54.527093,-43.207087,-49.748197,-45.617672,-45.096378,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
36.953,-54.359731,-47.935251,-54.827353,-50.969360,-53.895204,-50.133169,-52.043300,-58.919015,-49.720321,-53.877612,-63.199876,-57.239160,-49.530928,-53.959647,-59.806657,-48.440722,-59.968215,-43.702276,-48.679849,-46.723741,-46.400745,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
37.197,-54.651930,-48.232506,-54.969522,-51.482921,-53.300736,-49.985762,-52.496058,-58.806450,-48.807266,-54.785214,-58.523796,-55.169642,-49.678064,-54.170125,-57.719443,-48.221920,-69.729633,-45.021899,-48.181350,-48.338696,-48.185904,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
37.441,-54.560331,-48.688646,-54.945674,-52.086526,-52.745315,-50.251696,-52.966744,-57.484531,-48.411664,-55.498335,-55.619595,-53.459200,-49.779356,-54.468717,-55.383122,-48.101188,-76.502291,-46.860786,-48.219268,-50.239120,-50.313366,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
37.686,-54.260704,-49.274711,-54.927019,-52.826454,-52.442636,-50.958187,-53.535782,-56.163151,-48.630289,-56.147692,-53.894076,-52.414824,-50.132792,-55.029633,-54.067259,-48.282716,-66.001735,-49.380635,-48.919745,-51.942072,-52.401516,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
37.930,-53.813393,-49.779154,-54.707712,-53.324350,-52.151981,-51.668548,-53.808861,-54.930618,-48.943423,-56.245028,-52.521710,-51.532212,-50.237757,-55.387298,-52.957727,-48.272009,-61.483379,-51.671986,-49.712031,-52.838892,-53.938643,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
38.174,-53.420193,-50.265392,-54.394272,-53.583736,-51.912635,-52.324136,-53.805628,-53.858884,-49.275628,-55.844483,-51.319731,-50.737815,-50.106355,-55.524514,-51.832648,-48.112133,-58.261737,-53.546239,-50.482919,-53.054492,-54.829660,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
38.418,-53.413194,-51.063279,-54.428245,-54.026673,-52.094012,-53.288930,-53.993557,-53.345785,-50.069225,-55.593726,-50.765809,-50.520113,-50.380269,-55.947905,-51.354467,-48.467573,-56.127416,-55.830829,-51.682839,-53.272413,-55.432976,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
38.662,-53.216840,-51.602564,-54.471050,-54.391722,-52.383452,-54.279503,-54.201821,-53.197506,-51.143306,-55.430334,-50.638513,-50.679866,-50.879319,-56.516732,-51.188083,-49.105664,-54.588914,-58.373648,-52.828793,-53.186564,-55.335367,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
38.906,-53.075582,-52.107267,-54.485943,-54.584846,-52.647113,-55.103580,-54.227729,-53.078887,-52.159271,-55.093975,-50.556721,-50.851491,-51.308798,-56.908450,-51.033661,-49.800050,-53.379345,-61.143844,-53.741828,-53.087234,-54.887360,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
39.150,-52.976542,-52.555319,-54.346052,-54.479521,-52.723176,-55.581250,-53.896584,-52.745710,-52.860729,-54.364368,-50.215321,-50.747262,-51.396442,-56.877935,-50.557728,-50.303829,-52.245561,-63.196691,-54.170980,-52.930039,-54.155403,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
39.395,-52.911120,-52.962655,-54.145006,-54.221273,-52.709376,-55.845938,-53.376539,-52.347205,-53.413967,-53.452108,-49.786099,-50.538702,-51.330972,-56.611669,-49.940627,-50.802961,-51.248820,-62.259015,-54.231114,-52.674152,-53.206982,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
39.639,-53.068316,-53.523098,-54.108284,-54.068145,-52.830393,-56.140813,-52.929160,-52.130909,-54.060443,-52.620800,-49.506439,-50.468537,-51.353678,-56.367605,-49.396266,-51.554607,-50.588550,-58.917002,-54.180464,-52.435645,-52.298551,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
39.883,-53.363672,-54.156472,-54.233616,-54.056484,-53.086014,-56.488780,-52.609178,-52.152245,-54.846583,-51.953363,-49.451624,-50.610687,-51.538576,-56.220197,-49.001829,-52.655914,-50.267810,-55.628220,-54.108645,-52.068222,-51.404781,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
40.127,-53.819320,-54.841953,-54.426774,-54.076214,-53.343501,-56.723432,-52.258869,-52.224962,-55.527858,-51.243708,-49.404923,-50.755519,-51.668661,-55.963813,-48.542151,-53.956988,-50.156418,-52.762799,-53.958703,-51.518966,-50.583127,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
40.371,-54.574639,-55.660424,-54.745943,-54.171104,-53.605466,-56.808719,-51.881938,-52.320962,-56.005843,-50.503112,-49.387288,-50.912932,-51.774371,-55.585030,-48.150467,-55.531683,-50.301658,-50.444842,-53.898065,-50.918667,-49.996087,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
40.615,-55.946568,-56.844111,-55.574473,-54.750576,-54.221082,-57.071788,-51.902307,-52.858566,-56.599164,-50.236282,-49.926350,-51.584957,-52.370447,-55.547718,-48.493595,-57.731903,-51.150434,-49.264009,-54.468577,-50.654764,-49.984292,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
