Target_index,0,1,2,3,4,5,6,7,8,9,10,11,Variable_index,Variable_name
Ping_index,2704,2705,2706,2707,2708,2709,2710,2711,2712,2713,2714,2715,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:39:33,13:39:33,13:39:33,13:39:33,13:39:33,13:39:34,13:39:34,13:39:34,13:39:34,13:39:34,13:39:34,13:39:34,
Ping_milliseconds,549.0,642.0,736.0,835.0,935.0,037.0,149.0,264.0,362.0,464.0,568.0,663.0,
Range,4.6479572000,4.6210558400,4.6031216000,4.5851873600,4.5821983200,4.5911654400,4.6061106400,4.6389900800,4.6748585600,4.7226832000,4.7854530400,4.8482228800,
Depth,4.5222416772,4.5465550944,4.5567065747,4.5633570617,4.5747626172,4.5906570219,4.6013044054,4.6184237450,4.6298749996,4.6373578971,4.6632197369,4.6981110135,
35.000,-55.599897,-55.316035,-51.403913,-51.509967,-52.983859,-52.143739,-51.984545,-52.128214,-51.623082,-54.019464,-53.904088,-55.570690,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
35.244,-53.922515,-54.563303,-51.197774,-50.833804,-52.830219,-51.768461,-51.777567,-52.059856,-51.082544,-53.786394,-53.576653,-55.038148,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
35.488,-52.147265,-53.394019,-50.590182,-49.936748,-52.169148,-51.044348,-51.135734,-51.565359,-50.310444,-53.169309,-53.110694,-54.485335,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
35.732,-50.098867,-51.913265,-49.719157,-49.022400,-51.351623,-50.308603,-50.395822,-50.912546,-49.438245,-52.145876,-52.263142,-53.592106,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
35.977,-48.367658,-50.685626,-49.076377,-48.531594,-50.849689,-50.002384,-50.012986,-50.563221,-48.950724,-51.247299,-51.547858,-52.927671,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
36.221,-47.264416,-49.902912,-48.746997,-48.455052,-50.642217,-50.064084,-49.950555,-50.509659,-48.925845,-50.679665,-51.218890,-52.832243,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
36.465,-46.702618,-49.478784,-48.611392,-48.630810,-50.584897,-50.313624,-50.053405,-50.585023,-49.227386,-50.365401,-51.162569,-53.188338,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
36.709,-46.457988,-49.274042,-48.556216,-48.943082,-50.608759,-50.637319,-50.235037,-50.664186,-49.692322,-50.150469,-51.129054,-53.656973,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
36.953,-46.628152,-49.334207,-48.590894,-49.320809,-50.660494,-50.909121,-50.412901,-50.685118,-50.244840,-50.094155,-51.199392,-54.276622,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
