Target_index,0,1,2,3,4,5,6,7,8,9,Variable_index,Variable_name
Ping_index,2704,2705,2706,2707,2711,2713,2718,2721,2722,2728,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:39:33,13:39:33,13:39:33,13:39:33,13:39:34,13:39:34,13:39:34,13:39:35,13:39:35,13:39:35,
Ping_milliseconds,549.0,642.0,736.0,835.0,264.0,464.0,943.0,220.0,310.0,867.0,
Range,4.6479572000,4.6210558400,4.6031216000,4.5851873600,4.6389900800,4.7226832000,5.1112584000,5.1291926400,5.1232145600,5.2517432800,
Depth,4.5222416772,4.5465550944,4.5567065747,4.5633570617,4.6184237450,4.6373578971,4.9034042042,5.1118694441,5.1144955233,5.1647898396,
35.000,-55.599897,-55.316035,-51.403913,-51.509967,-52.128214,-54.019464,-58.287967,-60.813645,-58.788724,-71.964136,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
35.244,-53.922515,-54.563303,-51.197774,-50.833804,-52.059856,-53.786394,-57.302336,-61.372026,-58.825312,-66.315125,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
35.488,-52.147265,-53.394019,-50.590182,-49.936748,-51.565359,-53.169309,-55.997425,-61.574711,-58.581650,-58.618133,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
35.732,-50.098867,-51.913265,-49.719157,-49.022400,-50.912546,-52.145876,-54.927184,-61.731775,-58.401778,-54.542652,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
35.977,-48.367658,-50.685626,-49.076377,-48.531594,-50.563221,-51.247299,-54.698148,-62.295405,-58.749923,-52.124075,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
36.221,-47.264416,-49.902912,-48.746997,-48.455052,-50.509659,-50.679665,-54.669738,-63.172568,-59.542281,-50.925030,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
36.465,-46.702618,-49.478784,-48.611392,-48.630810,-50.585023,-50.365401,-53.557935,-64.027464,-60.455704,-50.588136,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
36.709,-46.457988,-49.274042,-48.556216,-48.943082,-50.664186,-50.150469,-51.571229,-64.536629,-61.148374,-50.800125,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
36.953,-46.628152,-49.334207,-48.590894,-49.320809,-50.685118,-50.094155,-50.264131,-64.541676,-61.408240,-51.466156,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
37.197,-47.047693,-49.580546,-48.700768,-49.730208,-50.672825,-50.118602,-49.904992,-64.176147,-61.371320,-52.382682,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
37.441,-47.874964,-50.092036,-48.952597,-50.137557,-50.677627,-50.359660,-50.103236,-63.656819,-61.213108,-53.556964,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
37.686,-48.716768,-50.572252,-49.156671,-50.384157,-50.600016,-50.524441,-51.599915,-63.038769,-60.929379,-54.676923,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
37.930,-49.633729,-51.033307,-49.342961,-50.477395,-50.481417,-50.691241,-52.974186,-62.423484,-60.537581,-55.778824,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
38.174,-50.714996,-51.547509,-49.610953,-50.541624,-50.436615,-50.972424,-53.976703,-61.949656,-60.141407,-56.925795,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
38.418,-51.938878,-52.117385,-49.999814,-50.676811,-50.527537,-51.370544,-56.029065,-61.691915,-59.830647,-58.019178,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
38.662,-52.451208,-52.233709,-50.203380,-50.791299,-50.636783,-51.301804,-58.683574,-61.564666,-59.606764,-58.350626,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
38.906,-52.868996,-52.152089,-50.254713,-50.742808,-50.599131,-51.115294,-61.632648,-61.344241,-59.218241,-58.037508,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
39.150,-53.375342,-51.959230,-50.164298,-50.495509,-50.366291,-50.922585,-64.325867,-60.953822,-58.596764,-57.192013,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
39.395,-53.833414,-51.645754,-49.973707,-50.159062,-50.037081,-50.674465,-66.914845,-60.494713,-57.880808,-55.971807,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
39.639,-54.390159,-51.442997,-49.935436,-50.021616,-49.894351,-50.578790,-69.008186,-60.245306,-57.371472,-54.786298,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
