Target_index,0,1,2,3,4,5,6,Variable_index,Variable_name
Ping_index,3658,3662,3664,3665,3666,3667,3669,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:40:58,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,
Ping_milliseconds,678.0,001.0,164.0,244.0,332.0,423.0,601.0,
Range,5.2367980800,5.1889734400,5.1590830400,5.1949515200,5.2128857600,5.2338090400,5.2876117600,
Depth,5.0685859118,5.1147121787,5.1105429837,5.1314952206,5.1515317606,5.1728601865,5.1932088211,
35.000,-54.345884,-45.368408,-47.897815,-40.958069,-41.493816,-43.991175,-47.019812,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
35.244,-55.940769,-44.453112,-47.314898,-40.722183,-40.793487,-43.076544,-46.236797,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
35.488,-57.001378,-43.365909,-46.205007,-39.965733,-39.657986,-41.881643,-45.029834,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
35.732,-57.213090,-42.399879,-45.146503,-39.207681,-38.590786,-40.846144,-43.906391,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
35.977,-57.053780,-42.122546,-44.813082,-39.098436,-38.230342,-40.567185,-43.581527,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
36.221,-56.592960,-42.439260,-45.126730,-39.472233,-38.403023,-40.849668,-43.957224,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
36.465,-55.381728,-42.861395,-45.631580,-39.716981,-38.493785,-41.063132,-44.424511,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
36.709,-53.420671,-43.172203,-46.227019,-39.689185,-38.354588,-41.011028,-44.810024,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
36.953,-51.511156,-43.504891,-47.130211,-39.713400,-38.294984,-40.940332,-45.434703,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
37.197,-49.984288,-43.822834,-48.360583,-39.881936,-38.392420,-40.907731,-46.278924,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
37.441,-49.067119,-44.049209,-49.734714,-40.083611,-38.516166,-40.808274,-47.139972,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
37.686,-48.620874,-44.231858,-51.273391,-40.495887,-38.833112,-40.824564,-48.072040,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
37.930,-48.457385,-44.173994,-52.596578,-40.725085,-38.942367,-40.617830,-48.617797,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
38.174,-48.579685,-43.970463,-53.690658,-40.784062,-38.855242,-40.232078,-48.783087,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
38.418,-49.151838,-43.981330,-54.918051,-41.147794,-39.048468,-40.133968,-49.083394,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
38.662,-49.458363,-44.006737,-56.192920,-41.701423,-39.419732,-40.221899,-49.334095,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
38.906,-49.806203,-43.917602,-57.202086,-42.129332,-39.645230,-40.187163,-49.382981,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
39.150,-50.205951,-43.595051,-57.760830,-42.206659,-39.498676,-39.813454,-49.070601,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
