Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Variable_index,Variable_name
Ping_index,3657,3658,3659,3660,3661,3662,3664,3665,3666,3667,3668,3669,3670,3671,3672,3673,3675,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:40:58,13:40:58,13:40:58,13:40:58,13:40:58,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:41:00,
Ping_milliseconds,598.0,678.0,758.0,838.0,918.0,001.0,164.0,244.0,332.0,423.0,512.0,601.0,681.0,759.0,838.0,924.0,084.0,
Range,5.2547323200,5.2367980800,5.2158748000,5.2098967200,5.2009296000,5.1889734400,5.1590830400,5.1949515200,5.2128857600,5.2308200000,5.2547323200,5.2846227200,5.3444035200,5.3533706400,5.3892391200,5.4310856800,5.4938555200,
Depth,5.0965136131,5.0685925884,5.0815635808,5.0871599633,5.1035408294,5.1147113228,5.1105342144,5.1314942995,5.1515264530,5.1698344005,5.1908358531,5.1906867865,5.2437648205,5.2443617005,5.2410769099,5.2497578813,5.3383419029,
35.000,-51.151758,-54.360432,-49.468930,-45.049809,-43.119822,-45.388532,-47.912188,-40.976848,-41.510906,-44.038907,-47.745437,-47.128781,-48.342256,-44.332940,-43.016152,-46.579781,-58.024649,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.244,-50.489895,-55.954907,-49.312558,-44.519001,-42.414367,-44.473540,-47.328985,-40.741215,-40.810355,-43.101282,-46.734491,-46.375239,-48.185104,-43.873881,-42.150696,-45.826048,-57.385570,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.488,-49.833567,-57.014984,-48.804815,-43.462564,-41.320437,-43.386538,-46.218881,-39.984946,-39.674718,-41.889837,-45.552294,-45.174539,-47.347402,-43.035507,-41.013767,-44.939001,-56.787324,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.732,-49.154640,-57.226186,-48.263287,-42.213458,-40.161617,-42.420664,-45.160243,-39.227016,-38.607436,-40.844235,-44.564997,-44.046553,-46.292593,-42.095822,-39.790309,-43.949891,-56.187820,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.977,-49.051157,-57.066514,-48.349667,-41.474128,-39.583135,-42.143462,-44.826785,-39.117843,-38.246957,-40.561731,-44.343597,-43.711638,-45.761827,-41.703063,-39.139754,-43.500180,-56.112357,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.221,-49.632214,-56.605569,-48.982514,-41.272324,-39.563773,-42.460234,-45.140459,-39.491657,-38.419622,-40.847288,-44.724563,-44.076159,-45.750440,-41.884404,-39.104531,-43.690549,-56.559116,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.465,-50.539665,-55.394561,-49.475830,-41.161437,-39.650488,-42.882272,-45.645325,-39.736360,-38.510334,-41.069488,-45.140967,-44.535902,-45.776227,-42.238159,-39.238806,-44.108535,-57.079225,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.709,-51.517400,-53.433950,-49.401268,-41.019346,-39.686663,-43.192839,-46.240748,-39.708471,-38.371047,-41.029240,-45.403944,-44.917150,-45.743760,-42.592187,-39.342942,-44.484594,-57.424975,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.953,-52.740320,-51.524830,-49.061212,-41.206392,-39.929358,-43.525233,-47.143941,-39.732585,-38.311349,-40.969654,-45.720018,-45.535811,-46.028570,-43.161511,-39.704895,-45.042496,-57.910176,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.197,-54.040026,-49.998227,-48.693473,-41.742092,-40.374180,-43.842906,-48.374332,-39.901037,-38.408700,-40.943692,-46.095159,-46.370043,-46.685225,-43.894254,-40.276495,-45.650804,-58.605785,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
