Target_index,0,1,2,3,4,Variable_index,Variable_name
Ping_index,1311,1312,1313,1315,1316,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:37:23,13:37:23,13:37:23,13:37:23,13:37:24,
Ping_milliseconds,612.0,701.0,788.0,961.0,052.0,
Range,8.8236460800,8.8206570400,8.8176680000,8.8236460800,8.8296241600,
Depth,8.6995166764,8.6930093979,8.6993497368,8.7379228482,8.7542703180,
35.000,-59.011790,-65.918574,-63.692314,-62.528809,-61.658282,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.244,-58.051169,-65.537009,-62.056557,-61.996367,-60.278766,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.488,-57.070983,-64.663615,-60.177898,-61.170245,-58.962255,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.732,-56.346775,-63.826014,-58.544491,-60.479643,-58.016839,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.977,-56.442112,-63.677789,-57.795549,-60.464671,-57.966286,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.221,-57.258104,-63.990230,-57.784839,-60.889525,-58.633259,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.465,-58.274260,-63.995447,-57.916864,-61.127327,-59.468652,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.709,-59.182438,-63.416470,-58.011722,-60.973927,-60.217995,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.953,-60.003104,-62.631445,-58.312551,-60.693442,-60.892582,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.197,-60.668076,-61.896739,-58.797933,-60.462422,-61.381813,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.441,-61.151618,-61.269479,-59.270698,-60.269024,-61.519023,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.686,-61.528191,-60.993999,-59.819238,-60.248190,-61.462259,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.930,-61.587453,-60.667462,-60.052878,-60.093188,-61.050488,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.174,-61.395807,-60.268501,-59.998990,-59.825698,-60.436010,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.418,-61.306762,-60.243596,-60.130896,-59.818141,-60.057652,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.662,-61.152276,-60.399059,-60.320937,-59.978474,-59.889146,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.906,-60.841603,-60.439024,-60.315133,-59.999696,-59.624564,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.150,-60.287237,-60.129715,-59.921902,-59.690461,-59.078382,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.395,-59.629474,-59.632188,-59.322518,-59.222868,-58.424842,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.639,-59.132934,-59.196347,-58.786610,-58.869088,-57.938631,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.883,-58.819255,-58.882027,-58.383063,-58.690625,-57.682729,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.127,-58.570948,-58.506952,-57.941041,-58.503562,-57.470419,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.371,-58.362302,-58.068833,-57.448815,-58.234999,-57.215479,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.615,-58.513616,-58.017845,-57.336827,-58.244825,-57.268129,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.859,-58.626787,-57.778396,-57.090029,-58.161758,-57.310529,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
41.104,-58.707280,-57.532774,-56.870990,-58.083526,-57.439408,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
41.348,-58.736684,-57.225517,-56.619197,-57.880380,-57.514095,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
41.592,-58.705977,-56.852346,-56.340846,-57.552028,-57.541442,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
41.836,-58.611418,-56.360441,-55.999215,-57.066992,-57.486957,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
42.080,-58.688420,-56.081599,-55.909812,-56.685854,-57.572117,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
42.324,-58.649893,-55.797210,-55.860548,-56.266441,-57.628141,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
42.568,-58.534723,-55.489030,-55.808833,-55.773585,-57.540136,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
42.813,-58.446332,-55.321635,-55.864483,-55.337943,-57.357730,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
43.057,-58.298698,-55.207851,-55.904739,-54.980778,-57.079287,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
43.301,-58.273496,-55.320186,-56.039480,-54.849904,-56.838487,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
43.545,-58.308364,-55.565387,-56.141913,-54.857832,-56.583735,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
43.789,-58.314413,-55.984229,-56.239252,-55.030122,-56.402263,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
44.033,-58.286195,-56.353466,-56.159209,-55.200134,-56.187310,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
44.277,-58.480712,-56.947402,-56.222353,-55.641924,-56.256600,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
44.521,-58.970858,-57.637806,-56.380484,-56.289505,-56.577096,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
