Target_index,0,1,2,3,4,5,6,7,8,Variable_index,Variable_name
Ping_index,2605,2610,2611,2612,2613,2614,2615,2622,2626,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:39:24,13:39:24,13:39:24,13:39:24,13:39:24,13:39:25,13:39:25,13:39:25,13:39:26,
Ping_milliseconds,145.0,631.0,751.0,851.0,948.0,037.0,139.0,843.0,224.0,
Range,10.5782125600,10.4945194400,10.4855523200,10.4915304000,10.4915304000,10.5004975200,10.5154427200,10.6738618400,10.8322809600,
Depth,10.2583824936,10.3145788852,10.3247454511,10.3585781213,10.3492879337,10.3464911459,10.3567762552,10.4737082860,10.5091480818,
35.000,-48.698089,-55.800999,-56.942609,-52.124075,-60.902858,-55.860716,-52.319076,-48.623840,-51.893343,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.244,-48.740266,-56.061980,-55.346849,-52.163085,-63.272922,-54.217691,-52.782793,-47.358322,-49.578372,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.488,-48.752660,-55.657100,-53.615774,-51.869255,-64.127187,-52.543634,-53.131614,-46.315795,-47.342208,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.732,-48.809484,-54.753376,-52.117054,-51.765243,-62.282379,-51.270852,-54.058370,-45.787560,-45.338298,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.977,-49.524687,-53.824510,-51.467447,-52.541560,-59.109589,-51.048728,-56.516242,-46.447860,-44.200329,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.221,-50.906157,-52.916052,-51.526786,-54.106934,-56.234058,-51.673328,-60.878538,-48.302932,-44.003973,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.465,-52.399033,-51.835836,-51.700006,-55.906691,-53.654920,-52.417569,-68.376097,-50.962944,-44.351718,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.709,-53.552635,-50.733667,-51.803188,-57.646606,-51.364980,-53.064512,-73.369247,-54.548255,-45.037418,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.953,-54.375225,-50.082582,-52.100957,-58.937019,-49.737420,-53.897733,-63.221849,-59.989651,-46.318101,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.197,-54.667088,-49.967233,-52.581483,-58.825828,-48.824274,-54.838024,-58.547054,-69.751752,-48.060724,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.441,-54.575294,-50.266411,-53.073513,-57.504952,-48.428621,-55.572030,-55.643247,-76.521790,-50.125601,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.686,-54.275615,-51.003821,-53.651387,-56.183958,-48.647173,-56.224455,-53.917868,-66.021037,-52.131687,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.930,-53.828356,-51.740447,-53.925433,-54.951519,-48.960279,-56.312440,-52.545589,-61.502434,-53.605984,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.174,-53.435265,-52.415941,-53.919271,-53.879787,-49.292515,-55.898962,-51.343697,-58.280792,-54.490683,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.418,-53.428375,-53.393096,-54.099695,-53.366640,-50.086118,-55.636782,-50.789829,-56.146560,-55.139064,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.662,-53.232120,-54.389498,-54.298865,-53.218307,-51.160211,-55.464650,-50.662572,-54.608152,-55.100689,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.906,-53.090945,-55.212068,-54.316054,-53.099631,-52.176187,-55.121938,-50.580803,-53.398664,-54.712575,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.150,-52.991978,-55.681552,-53.978538,-52.766407,-52.877676,-54.387676,-50.239424,-52.264968,-54.030747,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.395,-52.926615,-55.932882,-53.453921,-52.367868,-53.430958,-53.471746,-49.810216,-51.268302,-53.113080,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.639,-53.083854,-56.210602,-53.003964,-52.151556,-54.077500,-52.637450,-49.530568,-50.608101,-52.216615,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.883,-53.379238,-56.539173,-52.682765,-52.172896,-54.863722,-51.967548,-49.475760,-50.287414,-51.317396,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.127,-53.834894,-56.753614,-52.333243,-52.245640,-55.545098,-51.256159,-49.429064,-50.176071,-50.482938,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.371,-54.590197,-56.820487,-51.957600,-52.341675,-56.023160,-50.514685,-49.411413,-50.321331,-49.882629,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.615,-55.962064,-57.071930,-51.976866,-52.879304,-56.616467,-50.247795,-49.950404,-51.170034,-49.855402,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.859,-57.305112,-56.855841,-51.838796,-53.348307,-56.566257,-49.785153,-50.330385,-52.202601,-49.787061,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
41.104,-58.506446,-56.224648,-51.678237,-53.881064,-55.971961,-49.378090,-50.815391,-53.643846,-49.600314,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
41.348,-59.840464,-55.199943,-51.458947,-54.339826,-54.808229,-48.957791,-51.306117,-55.761926,-49.647593,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
41.592,-61.170969,-53.866575,-51.170470,-54.611084,-53.245675,-48.513624,-51.721126,-59.027265,-50.014279,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
41.836,-62.086763,-52.327534,-50.768647,-54.475416,-51.410402,-47.963570,-51.855857,-64.441355,-50.936571,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
42.080,-61.836823,-51.021217,-50.559141,-54.066759,-49.785037,-47.676062,-51.959315,-68.549623,-52.975290,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
42.324,-59.502745,-49.760653,-50.279591,-53.151256,-48.270874,-47.440843,-51.730473,-62.919553,-55.923069,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
42.568,-56.485303,-48.656154,-49.914189,-51.833531,-46.895349,-47.208833,-51.146188,-59.779068,-59.872376,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
42.813,-53.801872,-47.904616,-49.590018,-50.463383,-45.867702,-47.151809,-50.514281,-59.005618,-59.963432,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
43.057,-51.422788,-47.399995,-49.189659,-49.147957,-45.129446,-47.136952,-49.825499,-59.442512,-56.531696,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
43.301,-49.795065,-47.346618,-48.899279,-48.141106,-44.839822,-47.299473,-49.309974,-58.679164,-54.732646,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
43.545,-48.987370,-47.662571,-48.667298,-47.398484,-44.882462,-47.512436,-48.885437,-55.261188,-54.974173,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
43.789,-48.658627,-48.281555,-48.542168,-46.985072,-45.312683,-47.883559,-48.700117,-51.865165,-57.207957,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
44.033,-48.990761,-49.041096,-48.411719,-46.718036,-45.870468,-48.161745,-48.494894,-49.334775,-63.658919,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
44.277,-50.087038,-50.144407,-48.592135,-46.899692,-46.853083,-48.725879,-48.670104,-47.830182,-68.533527,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
44.521,-52.274923,-51.507495,-49.059413,-47.459072,-48.127936,-49.484026,-49.123904,-47.177302,-57.490972,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
44.766,-55.908714,-52.649206,-49.385404,-47.931545,-49.138784,-49.901541,-49.294855,-46.869869,-52.936958,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
45.010,-62.159140,-53.156910,-49.283081,-48.071786,-49.578647,-49.723426,-48.913241,-46.514660,-49.772744,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
