Target_index,0,1,2,Variable_index,Variable_name
Ping_index,3658,3662,3664,
Ping_date,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:40:58,13:40:59,13:40:59,
Ping_milliseconds,678.0,001.0,164.0,
Range,5.2367980800,5.1889734400,5.1590830400,
Depth,5.0685925884,5.1147113228,5.1105342144,
35.000,-54.360432,-45.388532,-47.912188,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.244,-55.954907,-44.473540,-47.328985,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.488,-57.014984,-43.386538,-46.218881,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.732,-57.226186,-42.420664,-45.160243,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.977,-57.066514,-42.143462,-44.826785,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.221,-56.605569,-42.460234,-45.140459,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.465,-55.394561,-42.882272,-45.645325,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.709,-53.433950,-43.192839,-46.240748,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.953,-51.524830,-43.525233,-47.143941,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.197,-49.998227,-43.842906,-48.374332,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.441,-49.081204,-44.069065,-49.748476,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.686,-48.635042,-44.251632,-51.287193,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.930,-48.471586,-44.193744,-52.610393,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.174,-48.593883,-43.990206,-53.704446,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.418,-49.166016,-44.001127,-54.931833,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.662,-49.472546,-44.026661,-56.206697,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.906,-49.820382,-43.937652,-57.215858,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.150,-50.220103,-43.615179,-57.774574,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.395,-50.619474,-43.184609,-58.074828,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.639,-51.187654,-42.903373,-58.409973,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.883,-51.802987,-42.794466,-58.865921,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.127,-52.513674,-42.743787,-59.274806,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.371,-53.467756,-42.737658,-59.577307,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.615,-54.932050,-43.115792,-60.146201,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.859,-56.221055,-43.485015,-60.613135,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
41.104,-57.094231,-43.882308,-61.072874,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
41.348,-57.759050,-44.322037,-61.372287,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
41.592,-57.909976,-44.832055,-61.500173,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
41.836,-57.330820,-45.442172,-61.432493,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
42.080,-56.331327,-46.407263,-61.469435,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
42.324,-54.654906,-47.393640,-61.526983,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
42.568,-53.076509,-48.287293,-61.575404,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
42.813,-52.000212,-48.939364,-61.656068,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
43.057,-51.184381,-49.042410,-61.585387,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
43.301,-51.098051,-48.785288,-61.313371,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
43.545,-51.839449,-48.302287,-60.800118,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
43.789,-52.940411,-47.712285,-60.353980,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
44.033,-54.425126,-47.120330,-60.083127,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
44.277,-55.718602,-46.829229,-60.472855,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
44.521,-56.262071,-46.913803,-61.640148,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
44.766,-55.944816,-47.081541,-63.420642,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
45.010,-54.832264,-47.063208,-66.091571,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
