Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,Variable_index,Variable_name
Ping_index,3060,3061,3062,3063,3064,3065,3066,3067,3068,3069,3070,3071,3072,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:40:05,13:40:05,13:40:05,13:40:05,13:40:05,13:40:06,13:40:06,13:40:06,13:40:06,13:40:06,13:40:06,13:40:06,13:40:06,
Ping_milliseconds,611.0,699.0,793.0,893.0,983.0,079.0,170.0,259.0,349.0,433.0,517.0,601.0,699.0,
Range,9.4767157774,9.4782497369,9.4797702795,9.4605171956,9.4573777580,9.4588441093,9.4664507699,9.4497930259,9.4737275530,9.4827272114,9.4916767184,9.5110307279,9.5469505322,
Depth,9.2939777980,9.3697656151,9.3531048791,9.3542047609,9.3314852016,9.3661087155,9.3700948535,9.4093866320,9.4167520870,9.4165210258,9.4005240351,9.4342259672,9.4668330420,
35.000,-52.095231,-55.602198,-59.168951,-71.544563,-68.939462,-87.318868,-64.013735,-65.056545,-70.026050,-71.668760,-84.093292,-61.030044,-59.991426,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
35.244,-53.899850,-55.599843,-60.307971,-70.387136,-66.611843,-82.996524,-64.321067,-63.936118,-66.413776,-71.287399,-73.800054,-60.986860,-63.396784,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
35.488,-55.205436,-55.095564,-61.163656,-66.750106,-64.393300,-78.395439,-63.584898,-63.004255,-63.502328,-69.458119,-67.883102,-60.372157,-68.055680,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
35.732,-55.590509,-54.612004,-61.784127,-63.006719,-62.452651,-75.316506,-62.581204,-62.576492,-61.262383,-67.190809,-63.617286,-59.450951,-71.634251,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
35.977,-55.286525,-54.726259,-62.429798,-60.186925,-61.308232,-73.301745,-62.259779,-63.224006,-60.046522,-65.131635,-60.812305,-58.863232,-67.044858,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
36.221,-54.829674,-55.284139,-63.059389,-58.331437,-60.836673,-71.798218,-62.790591,-64.991298,-59.676935,-63.367323,-59.130500,-58.783427,-64.000437,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
36.465,-54.579905,-55.785756,-63.752231,-57.175178,-60.541529,-70.358944,-63.939573,-67.610675,-59.752063,-61.806941,-58.060445,-59.144825,-63.108737,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
36.709,-54.666398,-56.104302,-64.871573,-56.593076,-60.262016,-69.046001,-65.777996,-69.973005,-60.153270,-60.593968,-57.466603,-60.088938,-64.005159,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
36.953,-55.243178,-56.581374,-66.679581,-56.669608,-60.200921,-68.169941,-68.706986,-69.427321,-60.966453,-60.009064,-57.533005,-61.934256,-67.250505,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
37.197,-56.089161,-57.494086,-68.047177,-57.397943,-60.357178,-67.747925,-72.910755,-67.236884,-62.184109,-60.152291,-58.291594,-64.730269,-75.298176,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
37.441,-56.991903,-58.996745,-67.055859,-58.759950,-60.621429,-67.513442,-77.366178,-65.494805,-63.637012,-60.911642,-59.611643,-67.332889,-74.648244,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
37.686,-57.699511,-61.258228,-64.962608,-60.620559,-61.057155,-67.249309,-78.489735,-64.430229,-65.266558,-62.245199,-61.485318,-67.109089,-67.379586,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
