Target_index,0,1,2,Variable_index,Variable_name
Ping_index,3073,3074,3075,
Ping_date,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:40:06,13:40:06,13:40:06,
Ping_milliseconds,787.0,878.0,969.0,
Range,6.6640735625,6.6273671232,6.7297479734,
Depth,6.6278525637,6.5851821583,6.6763852853,
35.000,-69.266420,-69.673890,-70.127979,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
35.244,-75.272030,-69.797000,-71.458651,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
35.488,-67.633954,-68.946965,-72.875690,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
35.732,-62.366705,-67.313737,-74.959613,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
35.977,-59.262094,-65.472634,-79.214004,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
36.221,-57.533731,-63.802653,-88.214314,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
36.465,-56.749879,-62.543056,-80.659338,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
36.709,-56.684173,-61.850164,-74.387089,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
36.953,-57.210190,-61.842842,-70.792473,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
37.197,-58.226339,-62.603591,-68.465504,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
37.441,-59.615735,-64.227550,-66.960532,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
37.686,-61.098343,-66.681103,-65.890237,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
37.930,-62.572085,-70.168198,-65.123076,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
38.174,-64.087935,-74.405971,-64.661024,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
38.418,-65.720444,-74.832231,-64.499312,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
38.662,-67.358651,-71.417850,-64.369314,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
38.906,-68.861151,-68.459895,-64.178536,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
39.150,-70.062934,-66.160069,-63.884761,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
39.395,-70.716720,-64.323945,-63.546546,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
39.639,-70.653278,-63.041101,-63.424167,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
39.883,-69.810773,-62.191828,-63.493647,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
40.127,-68.530864,-61.637129,-63.697035,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
40.371,-67.097941,-61.222666,-63.945754,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
40.615,-65.853956,-61.072289,-64.395114,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
40.859,-64.893411,-61.186197,-65.005246,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
41.104,-64.056120,-61.395637,-65.584508,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
41.348,-63.272053,-61.695537,-66.109503,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
41.592,-62.584365,-62.196404,-66.537272,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
41.836,-62.091929,-63.115217,-66.775859,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
42.080,-61.902554,-64.748636,-66.657891,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
42.324,-61.792000,-67.094166,-65.759924,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
42.568,-61.734688,-70.091431,-64.392378,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
42.813,-61.682521,-71.123377,-62.966646,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
43.057,-61.723703,-68.308978,-61.763766,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
43.301,-62.150717,-65.540032,-61.108354,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
43.545,-63.155818,-63.865642,-61.014970,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
43.789,-64.834332,-62.900291,-61.190122,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
44.033,-67.814827,-62.524604,-61.676583,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
44.277,-73.912799,-62.647245,-62.439330,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
44.521,-88.833365,-63.238612,-63.477207,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
44.766,-71.815439,-64.052551,-64.542913,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
45.010,-66.172004,-64.752592,-65.263691,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
