Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Variable_index,Variable_name
Ping_index,3657,3658,3659,3660,3661,3662,3663,3664,3665,3666,3667,3668,3669,3670,3671,3672,3673,3675,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:40:58,13:40:58,13:40:58,13:40:58,13:40:58,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:41:00,
Ping_milliseconds,598.0,678.0,758.0,838.0,918.0,001.0,079.0,164.0,244.0,332.0,423.0,512.0,601.0,681.0,759.0,838.0,924.0,084.0,
Range,5.2578122480,5.2352842082,5.2082925267,5.1992661090,5.1948193289,5.1874551736,5.1922090578,5.1574672899,5.1949828238,5.2114019590,5.2307252701,5.2501863406,5.2845888711,5.3398370883,5.3488525300,5.3831320635,5.4264761782,5.4892999863,
Depth,5.0994970948,5.0671206675,5.0741769029,5.0767765297,5.0975473244,5.1132156402,5.1363148279,5.1089424361,5.1315261433,5.1500654239,5.1698123282,5.1863485007,5.1902399026,5.2392948372,5.2399495924,5.2351512145,5.2444693707,5.3339263275,
35.000,-51.301773,-54.330130,-50.227844,-46.144859,-43.327900,-45.396532,-55.655480,-48.046733,-40.957964,-41.498784,-44.028111,-47.594840,-47.073914,-48.322368,-44.331849,-43.191481,-46.758835,-57.662850,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
35.244,-50.602822,-56.083752,-50.128956,-45.305008,-42.524694,-44.482070,-54.352319,-47.441659,-40.722078,-40.798456,-43.091005,-46.614101,-46.316560,-48.217954,-43.897982,-42.264043,-45.910548,-57.093365,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
35.488,-49.897748,-57.381962,-49.600903,-43.903405,-41.350195,-43.393441,-53.420822,-46.297271,-39.965628,-39.662956,-41.879915,-45.450443,-45.111979,-47.418015,-43.072202,-41.068634,-44.936474,-56.573420,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
35.732,-49.159764,-57.849345,-48.980855,-42.339511,-40.129285,-42.426403,-52.947850,-45.204904,-39.207575,-38.595756,-40.834548,-44.487059,-43.981863,-46.383431,-42.139995,-39.797202,-43.871504,-56.073174,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
35.977,-48.989583,-57.815538,-48.909906,-41.351706,-39.507834,-42.148681,-53.351891,-44.843468,-39.098331,-38.235312,-40.552051,-44.305717,-43.648042,-45.855538,-41.752626,-39.112279,-43.360819,-56.127383,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
36.221,-49.501808,-57.241852,-49.272629,-40.983903,-39.465672,-42.465268,-54.433200,-45.137316,-39.472128,-38.407994,-40.837461,-44.748997,-44.015439,-45.832247,-41.937494,-39.057934,-43.510405,-56.732280,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
36.465,-50.347800,-55.748758,-49.406505,-40.790963,-39.550507,-42.887148,-55.735586,-45.631814,-39.716876,-38.498756,-41.059705,-45.246216,-44.475830,-45.835580,-42.291309,-39.188656,-43.913091,-57.411870,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
36.709,-51.284681,-53.540484,-49.020331,-40.642008,-39.604509,-43.197240,-57.223275,-46.226511,-39.689080,-38.359559,-41.019782,-45.588973,-44.855012,-45.775095,-42.639510,-39.303035,-44.301955,-57.872619,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
36.953,-52.501361,-51.500816,-48.545622,-40.882792,-39.879927,-43.528294,-58.979287,-47.136946,-39.713295,-38.299956,-40.960497,-45.952770,-45.472054,-46.031262,-43.195521,-39.684648,-44.898651,-58.399524,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
37.197,-53.837759,-49.924201,-48.207854,-41.515532,-40.363819,-43.843073,-59.566480,-48.378497,-39.881830,-38.397392,-40.934787,-46.320519,-46.305641,-46.662933,-43.908647,-40.279020,-45.559801,-59.066048,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
37.441,-55.246964,-48.995900,-48.170194,-42.467763,-40.974105,-44.064500,-57.471715,-49.761851,-40.083506,-38.521138,-40.836644,-46.542598,-47.153292,-47.576266,-44.711782,-41.057537,-46.292864,-60.028180,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
37.686,-56.436192,-48.555332,-48.446502,-43.700350,-41.693645,-44.241057,-54.733711,-51.302452,-40.495781,-38.838085,-40.850192,-46.706682,-48.072077,-48.825060,-45.526303,-41.937244,-46.937491,-61.072678,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
37.930,-57.215810,-48.404789,-48.771674,-44.847069,-42.231265,-44.177217,-52.382766,-52.618311,-40.724980,-38.947340,-40.638943,-46.526926,-48.608511,-50.007498,-46.110968,-42.655099,-47.344267,-61.882619,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
38.174,-57.688170,-48.543242,-49.136689,-45.875267,-42.615663,-43.968943,-50.546252,-53.698209,-40.783957,-38.860215,-40.248587,-46.094139,-48.770572,-51.097464,-46.513725,-43.240071,-47.607399,-62.298600,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
38.418,-58.158289,-49.132947,-49.805825,-47.107642,-43.189929,-43.976851,-49.398768,-54.909684,-41.147688,-39.053441,-40.146617,-45.865327,-49.073191,-52.486459,-47.042349,-44.000875,-48.007858,-62.450692,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
38.662,-58.084122,-49.457491,-50.264488,-48.115853,-43.646684,-44.001129,-48.670214,-56.172096,-41.701317,-39.424706,-40.231684,-45.743385,-49.329612,-53.873956,-47.340373,-44.433238,-47.908063,-61.860343,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
38.906,-57.883594,-49.823139,-50.594683,-48.893413,-43.933294,-43.912454,-48.047125,-57.175558,-42.129226,-39.650204,-40.195047,-45.494973,-49.385415,-55.106465,-47.455312,-44.693437,-47.675353,-61.033924,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
39.150,-57.644653,-50.239740,-50.726538,-49.329379,-43.946950,-43.591615,-47.321939,-57.736016,-42.206554,-39.503650,-39.820269,-44.948275,-49.079604,-56.010466,-47.335768,-44.747076,-47.360272,-60.145235,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
39.395,-57.354514,-50.654023,-50.704266,-49.497321,-43.794587,-43.163619,-46.593968,-58.043772,-42.119657,-39.175156,-39.286835,-44.267360,-48.588862,-56.703425,-47.067752,-44.638837,-46.947108,-59.237265,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
39.639,-57.204910,-51.233658,-50.745255,-49.614297,-43.722290,-42.885583,-46.102798,-58.388967,-42.136583,-38.934399,-38.860389,-43.716067,-48.177283,-57.416264,-46.894625,-44.585324,-46.628187,-58.523728,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
39.883,-57.081264,-51.854865,-50.812797,-49.659387,-43.738306,-42.780191,-45.868354,-58.853658,-42.335429,-38.861523,-38.611018,-43.345747,-47.904905,-58.162911,-46.803372,-44.541167,-46.302832,-57.901370,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
40.127,-57.033611,-52.563015,-50.880126,-49.557908,-43.757056,-42.733081,-45.737042,-59.266310,-42.526748,-38.762726,-38.348545,-42.987763,-47.628793,-58.799825,-46.745577,-44.494622,-46.031340,-57.407420,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
