Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Variable_index,Variable_name
Ping_index,2605,2606,2607,2608,2609,2610,2611,2612,2613,2614,2615,2616,2617,2618,2619,2621,2622,2623,2624,2625,2626,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:39:24,13:39:24,13:39:24,13:39:24,13:39:24,13:39:24,13:39:24,13:39:24,13:39:24,13:39:25,13:39:25,13:39:25,13:39:25,13:39:25,13:39:25,13:39:25,13:39:25,13:39:25,13:39:26,13:39:26,13:39:26,
Ping_milliseconds,145.0,243.0,340.0,443.0,537.0,631.0,751.0,851.0,948.0,037.0,139.0,238.0,334.0,456.0,543.0,751.0,843.0,931.0,028.0,121.0,224.0,
Range,10.5751814286,10.5512020964,10.5332520508,10.5198496504,10.4943398964,10.4929674495,10.4824787445,10.4900355951,10.4884869064,10.5004553971,10.5123797183,10.5183078568,10.5332145013,10.5586799970,10.5976545878,10.6394522864,10.6708438836,10.7053227486,10.7425476385,10.7766704745,10.8322520538,
Depth,10.2554293452,10.2159007611,10.2992419209,10.3196629612,10.3001848655,10.3123878790,10.3206540123,10.3570900373,10.3462579735,10.3464876302,10.3537462046,10.3656064933,10.3466203259,10.4152848981,10.3389013996,10.4146860885,10.4707253808,10.3818706023,10.4485074021,10.4404103970,10.5125503056,
35.000,-48.694624,-49.738126,-53.856825,-52.721913,-53.650925,-56.098062,-57.020512,-52.083249,-60.938886,-55.845334,-52.181045,-57.031489,-51.000877,-59.515682,-51.042486,-53.403478,-48.763347,-59.019151,-54.519192,-54.472803,-52.009640,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
35.244,-48.733814,-49.082782,-53.390317,-52.098484,-54.139056,-56.341621,-55.333246,-52.177694,-63.569662,-54.201614,-52.657006,-59.076791,-50.417569,-58.581748,-50.365017,-56.189638,-47.406047,-60.928893,-53.287872,-51.439058,-49.697644,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
35.488,-48.751173,-48.281849,-52.773049,-51.158128,-54.131684,-55.871039,-53.543063,-51.924725,-64.580974,-52.526911,-53.030508,-61.421640,-49.423981,-56.995265,-49.543972,-59.227206,-46.303698,-52.776318,-52.098646,-48.678589,-47.458106,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
35.732,-48.821169,-47.394976,-52.270109,-50.241774,-53.961880,-54.840861,-52.007288,-51.860908,-62.458272,-51.253756,-54.011226,-64.399319,-48.532262,-55.456468,-49.218050,-58.615727,-45.723717,-47.625789,-51.246668,-46.260353,-45.455163,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
35.977,-49.557491,-47.036196,-52.488700,-49.976220,-54.216810,-53.767953,-51.338343,-52.686854,-59.057709,-51.031619,-56.587029,-65.348560,-48.445303,-54.698827,-50.279655,-54.792004,-46.325681,-45.021944,-51.233069,-44.803961,-44.323927,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
36.221,-50.964983,-47.224212,-53.303247,-50.255970,-54.740335,-52.763404,-51.392002,-54.316045,-56.133869,-51.656379,-61.230261,-62.978174,-48.957690,-54.566031,-52.630345,-52.299152,-48.098433,-44.117969,-51.534961,-44.348356,-44.134790,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
36.465,-52.479295,-47.475369,-54.071743,-50.518879,-54.909499,-51.648838,-51.567846,-56.181562,-53.563835,-52.400617,-69.655870,-60.526473,-49.293610,-54.403887,-55.479685,-50.674808,-50.619874,-43.704933,-51.098299,-44.442125,-44.484921,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
36.709,-53.633769,-47.565771,-54.493006,-50.609565,-54.496555,-50.552041,-51.680795,-57.924989,-51.291471,-53.047408,-71.247691,-58.313488,-49.274753,-54.065750,-58.467587,-49.413137,-53.934184,-43.472017,-49.891926,-44.899402,-45.170164,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
36.953,-54.428191,-47.816250,-54.790339,-50.872065,-53.854454,-49.925781,-51.997156,-59.033268,-49.678658,-53.880577,-62.341964,-56.365894,-49.343663,-53.920316,-60.001826,-48.712871,-58.744091,-44.045734,-48.858544,-46.059077,-46.449944,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
37.197,-54.678728,-48.187486,-54.939576,-51.353013,-53.191691,-49.842683,-52.501090,-58.660752,-48.776509,-54.820990,-58.096312,-54.660572,-49.547990,-54.052795,-58.111101,-48.404103,-66.298379,-45.456416,-48.353589,-47.847919,-48.194256,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
37.441,-54.556264,-48.708888,-54.930365,-51.958575,-52.637737,-50.175676,-53.014056,-57.262494,-48.389312,-55.555104,-55.405115,-53.177605,-49.705793,-54.315158,-55.662624,-48.191320,-83.997678,-47.421783,-48.367958,-50.117040,-50.258796,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
37.686,-54.242652,-49.338087,-54.919498,-52.724415,-52.374181,-50.944768,-53.608280,-55.984504,-48.615081,-56.207833,-53.797160,-52.259268,-50.094916,-54.879771,-54.225675,-48.302936,-67.909431,-50.119617,-49.036316,-52.391920,-52.268736,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
37.930,-53.791943,-49.861427,-54.699111,-53.256984,-52.131470,-51.708377,-53.888634,-54.815673,-48.934942,-56.295957,-52.489800,-51.446527,-50.215510,-55.269490,-53.029852,-48.251317,-62.164765,-52.627694,-49.789573,-53.802762,-53.744437,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
38.174,-53.400009,-50.347440,-54.380611,-53.547728,-51.933907,-52.404304,-53.879435,-53.797636,-49.273910,-55.882370,-51.322837,-50.694102,-50.089337,-55.453137,-51.849970,-48.073097,-58.509801,-54.694697,-50.514556,-54.169776,-54.626425,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
38.418,-53.396243,-51.133028,-54.410337,-54.013383,-52.145586,-53.394350,-54.054263,-53.324162,-50.074445,-55.620165,-50.786839,-50.504999,-50.366545,-55.925615,-51.340353,-48.423836,-56.197820,-57.056963,-51.663294,-54.245431,-55.273681,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
38.662,-53.204291,-51.653798,-54.452206,-54.392891,-52.453150,-54.394522,-54.247097,-53.203441,-51.155513,-55.448266,-50.667704,-50.686919,-50.871349,-56.538236,-51.158385,-49.064404,-54.581602,-59.466478,-52.758277,-53.909864,-55.246228,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
38.906,-53.068534,-52.137503,-54.470110,-54.595123,-52.723768,-55.213519,-54.258072,-53.103018,-52.178148,-55.105775,-50.588427,-50.877393,-51.310145,-56.963964,-50.998378,-49.764823,-53.336693,-61.701506,-53.630252,-53.539320,-54.867952,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
39.150,-52.976222,-52.563868,-54.336787,-54.496439,-52.797026,-55.673471,-53.913764,-52.780901,-52.885333,-54.371548,-50.246183,-50.789835,-51.409814,-56.955690,-50.522744,-50.276587,-52.186975,-62.625745,-54.038720,-53.111821,-54.189363,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
39.395,-52.918892,-52.949162,-54.144985,-54.244124,-52.771984,-55.910242,-53.382697,-52.387919,-53.442452,-53.455581,-49.814007,-50.595795,-51.357157,-56.699501,-49.909170,-50.785425,-51.184018,-61.132205,-54.104095,-52.597032,-53.272751,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
39.639,-53.085594,-53.486545,-54.119025,-54.096750,-52.874507,-56.169424,-52.926401,-52.172660,-54.089766,-52.621192,-49.529926,-50.537267,-51.390914,-56.453852,-49.369977,-51.549459,-50.523036,-58.242637,-54.082621,-52.130875,-52.376751,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
39.883,-53.391742,-54.094715,-54.255226,-54.090175,-53.105605,-56.476481,-52.599461,-52.191140,-54.872310,-51.951237,-49.469514,-50.686801,-51.582131,-56.294245,-48.981512,-52.668359,-50.205346,-55.378394,-54.057068,-51.597424,-51.481252,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
40.127,-53.858962,-54.752315,-54.457601,-54.113037,-53.334197,-56.668667,-52.244060,-52.257321,-55.544429,-51.239703,-49.416123,-50.832777,-51.710665,-56.016576,-48.528268,-53.997411,-50.100325,-52.757718,-53.963050,-50.971533,-50.648830,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
40.371,-54.625402,-55.542729,-54.782119,-54.207139,-53.565619,-56.716327,-51.863965,-52.342990,-56.008060,-50.498027,-49.390696,-50.982533,-51.804367,-55.609620,-48.143465,-55.619532,-50.255759,-50.575191,-53.962078,-50.392757,-50.045713,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
40.615,-56.005378,-56.708144,-55.609517,-54.779378,-54.153634,-56.956733,-51.883371,-52.866117,-56.585695,-50.231117,-49.920910,-51.635243,-52.377683,-55.540464,-48.494083,-57.892291,-51.120111,-49.469815,-54.591037,-50.234120,-50.014767,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
