Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Variable_index,Variable_name
Ping_index,1307,1308,1309,1310,1311,1312,1313,1314,1315,1316,1317,1318,1319,1320,1321,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:37:23,13:37:23,13:37:23,13:37:23,13:37:23,13:37:23,13:37:23,13:37:23,13:37:23,13:37:24,13:37:24,13:37:24,13:37:24,13:37:24,13:37:24,
Ping_milliseconds,252.0,348.0,430.0,526.0,612.0,701.0,788.0,873.0,961.0,052.0,136.0,222.0,308.0,394.0,480.0,
Range,8.9044479565,8.8519874628,8.8611405648,8.8235403406,8.8205703262,8.8191624261,8.8161369995,8.8221323319,8.8221083309,8.8265168277,8.8430018332,8.8609877512,8.8728447669,8.9121199927,8.9526113415,
Depth,8.6536463937,8.6171476319,8.6102476399,8.6305779992,8.6964841913,8.6915364135,8.6978392778,8.7217949666,8.7364000389,8.7511895038,8.7748068999,8.7629774567,8.7794253845,8.8022429580,8.8385360194,
35.000,-57.991011,-62.993821,-56.122862,-59.610963,-59.185160,-65.774483,-63.767747,-61.496176,-62.348185,-61.777808,-65.284917,-56.408535,-67.661522,-62.860548,-65.650286,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.244,-56.097694,-62.489922,-55.940627,-58.779803,-58.212950,-65.449139,-62.104333,-61.836456,-61.789455,-60.314949,-64.754818,-56.375107,-70.150867,-62.568749,-62.940096,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.488,-54.535647,-61.791349,-55.611978,-57.896754,-57.216968,-64.634643,-60.197208,-61.601085,-60.955868,-58.948715,-63.323346,-56.030870,-71.527033,-61.844965,-60.723798,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.732,-53.015383,-60.965162,-55.182791,-57.322132,-56.472448,-63.857732,-58.546602,-61.207100,-60.276131,-57.971081,-61.621768,-55.855683,-68.680482,-61.072679,-59.106686,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.977,-52.048022,-60.578947,-55.257237,-57.717539,-56.537674,-63.764063,-57.790402,-61.235409,-60.298386,-57.900247,-60.438707,-56.477202,-64.832927,-60.720331,-58.604139,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.221,-51.839970,-60.648720,-55.909114,-58.914311,-57.305607,-64.108739,-57.778519,-61.549188,-60.795473,-58.558887,-59.818565,-57.758355,-62.187450,-60.556284,-59.022613,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.465,-52.200147,-60.737882,-56.732644,-60.144310,-58.248934,-64.106178,-57.911166,-61.655390,-61.134249,-59.401697,-59.417304,-59.142744,-60.364721,-60.149805,-59.739809,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.709,-52.876972,-60.590140,-57.421348,-61.030345,-59.065945,-63.481994,-58.004663,-61.485810,-61.078175,-60.178409,-59.135953,-60.427957,-59.078501,-59.644628,-60.505802,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.953,-53.973307,-60.478222,-58.067868,-61.728098,-59.807710,-62.643994,-58.300442,-61.325341,-60.853845,-60.896829,-59.091946,-61.733723,-58.399814,-59.581528,-61.255542,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.197,-55.310758,-60.467446,-58.473969,-62.099587,-60.442849,-61.874206,-58.778905,-61.193602,-60.627806,-61.429144,-59.257576,-62.845366,-58.237093,-60.165224,-61.392968,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.441,-56.980077,-60.725939,-58.682803,-62.038497,-60.954339,-61.233316,-59.247306,-60.945931,-60.404288,-61.589166,-59.463485,-63.253140,-58.349130,-61.292337,-60.575024,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.686,-58.607845,-61.150341,-58.689702,-61.842708,-61.395913,-60.958256,-59.797443,-60.769274,-60.339661,-61.531392,-59.739479,-62.947496,-58.697457,-62.924774,-59.509033,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.930,-60.144753,-61.603146,-58.529345,-61.275177,-61.528383,-60.638816,-60.038367,-60.378145,-60.142265,-61.105098,-59.841323,-61.976505,-58.915661,-64.285629,-58.296734,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.174,-61.588021,-62.102361,-58.391197,-60.488624,-61.396418,-60.249064,-59.994379,-59.852075,-59.841029,-60.473227,-59.831906,-60.785074,-59.012329,-64.726811,-57.119615,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.418,-62.865193,-62.786029,-58.555289,-60.075933,-61.344735,-60.233180,-60.135448,-59.657793,-59.810148,-60.079924,-60.045578,-59.973959,-59.356039,-64.374271,-56.458573,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.662,-63.088370,-63.015992,-58.440710,-59.772124,-61.207153,-60.396494,-60.331879,-59.690679,-59.956569,-59.900264,-60.420784,-59.479974,-59.843258,-63.528937,-56.150249,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.906,-62.783369,-63.019521,-58.323932,-59.446042,-60.899133,-60.442816,-60.329151,-59.630495,-59.971369,-59.627990,-60.635774,-59.006161,-60.206339,-62.417967,-55.852916,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.150,-62.189632,-62.804348,-58.217258,-58.903483,-60.339043,-60.138335,-59.936126,-59.251739,-59.661313,-59.076845,-60.504867,-58.335619,-60.268977,-61.064663,-55.313944,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
