Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,Variable_index,Variable_name
Ping_index,2396,2397,2398,2399,2400,2401,2402,2403,2404,2405,2406,2407,2409,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:39:04,13:39:04,13:39:04,13:39:04,13:39:04,13:39:04,13:39:04,13:39:04,13:39:05,13:39:05,13:39:05,13:39:05,13:39:05,
Ping_milliseconds,331.0,425.0,516.0,610.0,703.0,794.0,887.0,981.0,076.0,170.0,261.0,354.0,537.0,
Range,7.8419814526,7.8164889724,7.8074720977,7.7925472373,7.7879981563,7.7804458021,7.8044326540,7.8059169033,7.8222794352,7.8402428029,7.8684772663,7.8939419649,7.9686016006,
Depth,7.6844200650,7.6772514489,7.7205591472,7.7162714070,7.7442495404,7.7368720295,7.7889701175,7.7882020520,7.8048745217,7.8151000440,7.8276925720,7.8383968594,7.8553956058,
35.000,-66.731287,-62.634700,-70.583019,-77.460391,-68.065600,-71.469527,-77.827069,-66.057136,-67.717531,-69.892876,-65.269668,-66.155669,-67.516364,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.244,-65.069529,-62.803497,-68.898375,-82.115914,-67.358608,-71.328070,-76.078193,-65.084953,-67.526717,-68.715160,-65.423945,-65.733545,-65.999796,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.488,-63.778686,-62.449483,-67.374205,-85.209122,-66.387588,-71.441932,-74.590222,-64.301948,-67.309336,-67.670492,-65.324076,-65.178287,-64.081448,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.732,-62.483381,-61.737387,-66.401850,-84.633232,-65.640593,-72.109250,-73.143173,-63.914502,-67.303070,-66.886610,-65.239472,-64.729267,-62.165559,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.977,-61.607547,-61.366904,-66.417890,-81.590520,-65.656315,-73.688373,-71.854935,-64.342359,-67.854589,-66.742141,-65.587275,-64.831553,-60.864647,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.221,-61.373701,-61.647613,-67.262878,-78.649788,-66.359944,-75.397846,-70.538864,-65.450973,-68.676454,-67.103932,-66.199080,-65.361904,-60.255972,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.465,-61.797516,-62.559366,-68.369423,-75.879696,-67.387031,-75.617332,-69.102147,-66.843315,-69.202239,-67.635793,-66.660999,-65.956910,-60.100611,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.709,-62.922799,-63.979250,-69.174675,-72.824870,-68.405489,-74.184452,-67.674686,-68.082211,-69.017674,-68.024737,-66.706061,-66.399996,-60.232747,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.953,-65.088479,-65.683803,-69.382891,-69.678458,-69.023136,-72.044390,-66.385312,-68.660016,-68.064525,-67.901039,-66.307714,-66.547513,-60.666681,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.197,-68.144513,-66.563700,-68.878409,-66.872380,-68.860170,-69.687186,-65.339572,-68.346878,-66.700548,-67.118417,-65.620933,-66.201442,-61.225950,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.441,-69.511672,-65.904539,-67.783585,-64.624335,-67.971630,-67.423578,-64.505942,-67.340817,-65.287823,-65.929489,-64.835677,-65.371908,-61.749679,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.686,-66.678584,-64.390586,-66.344896,-62.928015,-66.791146,-65.482668,-63.824906,-66.060286,-64.020951,-64.701613,-64.054971,-64.342425,-62.007618,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.930,-63.624644,-62.959273,-64.776943,-61.573274,-65.545992,-63.833386,-63.203477,-64.738041,-62.923741,-63.572799,-63.311315,-63.272552,-61.954550,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.174,-61.526957,-61.937329,-63.346797,-60.534963,-64.441779,-62.520280,-62.699188,-63.584069,-62.077696,-62.673095,-62.719280,-62.356252,-61.779883,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.418,-60.237216,-61.355936,-62.308681,-59.944059,-63.688658,-61.664937,-62.427853,-62.774675,-61.579873,-62.131137,-62.409545,-61.808241,-61.735076,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.662,-58.944537,-60.630701,-61.437805,-59.563481,-63.198639,-61.132510,-62.378491,-62.300927,-61.388444,-61.887850,-62.275528,-61.502700,-61.547748,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.906,-57.864020,-59.938596,-60.605681,-59.178969,-62.685811,-60.613868,-62.208963,-61.809601,-61.157797,-61.612907,-62.075070,-61.189436,-61.268478,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.150,-57.006383,-59.290490,-59.709609,-58.656454,-62.010489,-59.956744,-61.790081,-61.154545,-60.751329,-61.167723,-61.703334,-60.737536,-60.878788,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.395,-56.261975,-58.632951,-58.819847,-58.086917,-61.294305,-59.274422,-61.269137,-60.472596,-60.302021,-60.681800,-61.272926,-60.261356,-60.434730,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.639,-55.793648,-58.156033,-58.177555,-57.721353,-60.809455,-58.835669,-60.943643,-60.051174,-60.099987,-60.440645,-61.061656,-60.031255,-60.179596,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.883,-55.446334,-57.740740,-57.767486,-57.564336,-60.583724,-58.667082,-60.861811,-59.933228,-60.186494,-60.482850,-61.089561,-60.073539,-60.077739,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.127,-55.281104,-57.410687,-57.492349,-57.496188,-60.470104,-58.624633,-60.867175,-59.956920,-60.410588,-60.660697,-61.234269,-60.262831,-60.090453,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.371,-55.376521,-57.202441,-57.290461,-57.436774,-60.332105,-58.576017,-60.774834,-59.940546,-60.593299,-60.810701,-61.359597,-60.497394,-60.210230,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.615,-55.884078,-57.274443,-57.400980,-57.637175,-60.394623,-58.751755,-60.773439,-60.081749,-60.923914,-61.136751,-61.661829,-61.030849,-60.668735,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
