Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,Variable_index,Variable_name
Ping_index,2396,2397,2398,2399,2400,2401,2402,2403,2404,2405,2406,2407,2409,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:39:04,13:39:04,13:39:04,13:39:04,13:39:04,13:39:04,13:39:04,13:39:04,13:39:05,13:39:05,13:39:05,13:39:05,13:39:05,
Ping_milliseconds,331.0,425.0,516.0,610.0,703.0,794.0,887.0,981.0,076.0,170.0,261.0,354.0,537.0,
Range,7.8419814151,7.8164889664,7.8059146261,7.7925476110,7.7895525574,7.7804464661,7.8044320986,7.8059170527,7.8222795981,7.8402427643,7.8684768018,7.8939417098,7.9686013242,
Depth,7.6863243319,7.6762258634,7.7190133613,7.7148154555,7.7457863949,7.7368355850,7.7891470315,7.7882018732,7.8041164186,7.8152785972,7.8304614443,7.8366371254,7.8568267981,
190.000,-49.484379,-47.107049,-48.301615,-53.660627,-60.344078,-64.971443,-56.446812,-56.070900,-68.235166,-56.026169,-49.560876,-69.523860,-47.776830,0,RAW: TS pulse compressed wideband pings T1 (channel 2)
190.244,-49.829158,-48.634287,-48.441100,-54.955229,-59.846108,-67.133933,-55.916853,-55.143463,-65.174510,-59.029665,-49.832668,-73.102608,-49.905830,0,RAW: TS pulse compressed wideband pings T1 (channel 2)
190.488,-50.326321,-51.052534,-49.051999,-56.317155,-60.153240,-70.244496,-55.211087,-54.336012,-62.071537,-62.704603,-50.682372,-67.321104,-53.100739,0,RAW: TS pulse compressed wideband pings T1 (channel 2)
190.732,-50.516328,-54.783307,-50.141034,-56.426032,-61.088162,-73.989248,-54.357894,-53.789311,-60.789634,-63.706621,-52.152280,-63.753283,-55.872031,0,RAW: TS pulse compressed wideband pings T1 (channel 2)
190.977,-50.100344,-61.084736,-51.779128,-55.001718,-62.525524,-76.122537,-53.561809,-53.624629,-60.939247,-61.257959,-54.330022,-61.683101,-54.477584,0,RAW: TS pulse compressed wideband pings T1 (channel 2)
191.221,-49.389294,-69.749812,-54.125051,-53.344031,-64.361878,-75.281866,-53.029739,-53.964407,-62.518888,-59.215208,-57.257860,-60.454215,-51.845949,0,RAW: TS pulse compressed wideband pings T1 (channel 2)
191.465,-48.940481,-62.128055,-57.505100,-52.248145,-66.591658,-73.625327,-52.908034,-54.963945,-65.994863,-58.244610,-60.374948,-59.801025,-50.302537,0,RAW: TS pulse compressed wideband pings T1 (channel 2)
191.709,-49.159800,-58.592650,-62.677084,-51.937367,-69.370247,-71.331122,-53.296964,-56.851272,-71.341002,-58.070508,-61.564877,-59.622202,-49.975705,0,RAW: TS pulse compressed wideband pings T1 (channel 2)
191.953,-50.344253,-57.647842,-71.076231,-52.496376,-71.564355,-68.460845,-54.274837,-59.926363,-68.566511,-58.156482,-60.687376,-59.884427,-50.860868,0,RAW: TS pulse compressed wideband pings T1 (channel 2)
192.197,-52.848797,-58.420660,-69.282752,-54.000410,-68.718656,-65.820644,-55.910977,-63.599156,-63.885028,-57.774880,-60.064783,-60.547244,-53.162074,0,RAW: TS pulse compressed wideband pings T1 (channel 2)
192.441,-57.078144,-60.792398,-64.754817,-56.385812,-64.237535,-63.890459,-58.262408,-62.788508,-61.432098,-56.698391,-60.544335,-61.443014,-57.595481,0,RAW: TS pulse compressed wideband pings T1 (channel 2)
192.686,-59.964164,-64.689321,-63.122334,-58.510833,-60.847760,-62.784879,-61.326622,-59.238006,-60.481294,-55.460515,-62.299847,-62.092746,-66.754530,0,RAW: TS pulse compressed wideband pings T1 (channel 2)
192.930,-56.341473,-66.864358,-63.176261,-57.818725,-58.503296,-62.514000,-64.854189,-56.767045,-60.674641,-54.576001,-65.388155,-61.820622,-65.227233,0,RAW: TS pulse compressed wideband pings T1 (channel 2)
193.174,-53.394647,-64.178819,-64.619502,-55.598334,-56.973350,-63.104431,-68.044796,-55.403922,-61.920003,-54.259036,-68.548216,-60.576207,-59.470491,0,RAW: TS pulse compressed wideband pings T1 (channel 2)
193.418,-52.115286,-61.935698,-67.745784,-53.912100,-56.102209,-64.638036,-70.322191,-54.886805,-64.355268,-54.578507,-67.468470,-58.985135,-57.703819,0,RAW: TS pulse compressed wideband pings T1 (channel 2)
193.662,-52.116486,-61.162869,-73.731186,-53.095878,-55.797912,-67.108251,-72.792109,-55.071112,-68.565110,-55.576731,-64.622278,-57.519479,-58.171604,0,RAW: TS pulse compressed wideband pings T1 (channel 2)
193.906,-53.064748,-61.709824,-74.918397,-53.122745,-56.017424,-69.043398,-76.435356,-55.914334,-77.147636,-57.289626,-62.633954,-56.338892,-60.879623,0,RAW: TS pulse compressed wideband pings T1 (channel 2)
194.150,-53.991027,-63.631798,-67.893376,-54.027307,-56.762068,-67.022115,-75.009584,-57.470875,-83.153065,-59.553376,-61.406409,-55.462502,-66.878181,0,RAW: TS pulse compressed wideband pings T1 (channel 2)
194.395,-52.822294,-67.317753,-63.777440,-56.033286,-58.083630,-63.552129,-69.720325,-59.931448,-73.028878,-61.122213,-60.542776,-54.870075,-65.191833,0,RAW: TS pulse compressed wideband pings T1 (channel 2)
194.639,-49.917873,-72.105251,-61.211847,-59.838615,-60.108525,-60.810912,-66.145176,-63.758470,-70.153680,-60.047421,-59.714757,-54.536344,-58.765504,0,RAW: TS pulse compressed wideband pings T1 (channel 2)
194.883,-47.137015,-69.706412,-59.542397,-67.640864,-63.110501,-58.872389,-64.040878,-69.838351,-69.699191,-57.703620,-58.786872,-54.439478,-55.299962,0,RAW: TS pulse compressed wideband pings T1 (channel 2)
195.127,-45.010625,-65.823091,-58.472463,-65.226467,-67.775085,-57.570461,-63.080141,-72.062753,-70.792935,-55.757474,-57.851168,-54.560953,-53.551196,0,RAW: TS pulse compressed wideband pings T1 (channel 2)
195.371,-43.531913,-63.951963,-57.816599,-58.242109,-76.895545,-56.778064,-63.188334,-66.862567,-71.728152,-54.523685,-57.106588,-54.882450,-53.079520,0,RAW: TS pulse compressed wideband pings T1 (channel 2)
195.615,-42.626647,-63.668078,-57.404431,-54.589490,-82.201051,-56.404373,-64.543551,-63.982544,-69.087279,-53.980676,-56.737598,-55.381662,-53.873743,0,RAW: TS pulse compressed wideband pings T1 (channel 2)
195.859,-42.232354,-64.569057,-57.045539,-52.466358,-72.349971,-56.373079,-67.861210,-62.834415,-65.103399,-54.097697,-56.891335,-56.027820,-56.372621,0,RAW: TS pulse compressed wideband pings T1 (channel 2)
